,session_id,mall_id,lat,lng,activity,uniqueCount,totActiveDays,home_lat,home_long,mallidNearHome,work_lat,work_long,mallidNearWork,home_office_dist,one_home_dist,one_work_dist
568,148276609807325,76,41.068562,29.005823,Work,3,11,41.18611119,28.88072824,0,41.06916951,29.01071566,76,16.98,16.77,0.42
585,148291270521207,92,41.06768,28.992279,Residence,2,11,41.07289403,28.9920835,0,41.07289403,28.9920835,0,0,0.58,0.58
588,148293867027227,82,41.05365,28.993231,Work,2,11,41.01190229,29.07877438,0,41.05256706,28.98967875,82_1055,8.74,8.56,0.32
590,148297517637867,1121,41.064659,29.032145,Residence,1,11,40.98242052,29.08499881,0,40.98242052,29.08499881,0,0,10.17,10.17
94,148195357339187,82,41.05365,28.993231,Work,2,10,40.98069,29.0772152,0,40.98069,29.0772152,0,0,10.76,10.76
180,148197866289221,82,41.05365,28.993231,Residence,8,10,41.05362052,28.99793503,82,41.05362052,28.99793503,82,0,0.39,0.39
275,148203951987524,38,41.003078,28.68808,Work,1,10,40.99046783,28.61528736,0,41.00597993,28.62402639,0,1.88,6.27,5.39
376,148209055079686,78,41.086391,28.982019,Work,1,10,41.00266279,29.03571253,91,41.0897124,28.98418228,78,10.61,10.35,0.41
377,148209055079686,91,41.00032,29.032339,Residence,2,10,41.00266279,29.03571253,91,41.0897124,28.98418228,78,10.61,0.39,10.74
378,148209055079686,1059,41.006886,29.033216,Residence,1,10,41.00266279,29.03571253,91,41.0897124,28.98418228,78,10.61,0.51,10.1
394,148212187502704,1078,41.110367,29.131603,Work,7,10,41.04430613,28.9803091,0,41.11079697,29.13157058,1078,14.69,14.67,0.05
504,148232831880018,74,41.053925,28.79114,Residence,5,10,41.05527995,28.78565269,74,41.05527995,28.78565269,74,0,0.48,0.48
505,148232831880018,74,41.053925,28.79114,Work,1,10,41.05527995,28.78565269,74,41.05527995,28.78565269,74,0,0.48,0.48
513,148234926595099,93,40.937439,29.326969,Residence,2,10,37.87312775,32.4958959,0,40.93395701,29.32757294,93,436.24,436.57,0.39
514,148234926595099,93,40.937439,29.326969,Work,1,10,37.87312775,32.4958959,0,40.93395701,29.32757294,93,436.24,436.57,0.39
531,148240059454660,1071,41.047516,28.994026,Work,3,10,41.04770217,28.99621056,1071,41.04770217,28.99621056,1071,0,0.18,0.18
584,148289059564031,77,40.98867,28.845539,Residence,2,10,41.00135191,28.83022985,0,41.00135191,28.83022985,0,0,1.91,1.91
587,148291735704705,61,39.895489,32.704288,Residence,1,10,39.89783636,32.62456247,0,39.89783636,32.62456247,0,0,6.81,6.81
591,148299239759276,35,41.062988,28.807287,Work,1,10,41.10973838,29.12291688,0,41.0335353,29.10965224,0,8.56,26.99,25.6
160,148197432813277,90,41.085014,29.006083,Work,6,9,41.0872308,29.00259818,90,41.0872308,29.00259818,90,0,0.38,0.38
161,148197432813277,90,41.085014,29.006083,Residence,5,9,41.0872308,29.00259818,90,41.0872308,29.00259818,90,0,0.38,0.38
262,148202071116663,75,41.006882,28.797319,Residence,4,9,41.00846645,28.80188946,75,41.00846645,28.80188946,75,0,0.42,0.42
282,148204230083945,26,41.109474,29.030212,Work,5,9,41.0651333,29.00938399,76,41.10776542,29.03216034,26,5.12,5.24,0.25
283,148204230083945,76,41.068562,29.005823,Residence,7,9,41.0651333,29.00938399,76,41.10776542,29.03216034,26,5.12,0.48,4.89
354,148207230214579,91,41.00032,29.032339,Work,5,9,41.0004625,29.03720259,91,41.0004625,29.03720259,91,0,0.41,0.41
389,148211896973452,1055,41.049744,28.990915,Work,6,9,41.05027584,28.98874933,1055,41.05027584,28.98874933,1055,0,0.19,0.19
