"","session_id","mall_id","activity"
"332",148205510970378,92,"Residence"
"333",148205607743965,1108,"Work"
"334",148205616799751,30,"Residence"
"335",148205647633267,1025,"Work"
"336",148205717573521,25,"Residence"
"337",148205717573521,25,"Work"
"338",148205876729021,1082,"Residence"
"339",148205877424403,86,"Residence"
"340",148205877424403,86,"Work"
"341",148205954507419,1008,"Work"
"342",148205960652704,21,"Work"
"343",148206017051832,1092,"Residence"
"344",148206289568214,1064,"Work"
"345",148206316199971,29,"Residence"
"346",148206316199971,29,"Work"
"347",148206347336836,1067,"Work"
"348",148206501110013,1071,"Residence"
"349",148206539058957,1076,"Residence"
"350",148206545661786,32,"Work"
"351",148206597715137,92,"Residence"
"352",148206914157679,90,"Residence"
"353",148207053660093,27,"Work"
"354",148207230214579,91,"Work"
"355",148207232068820,1043,"Residence"
"356",148207298839616,79,"Work"
"357",148207445054553,34,"Work"
"358",148207580952929,1121,"Residence"
"359",148207580952929,1121,"Work"
"360",148207653335001,80,"Work"
"361",148207788684682,36,"Work"
"362",148207878354800,71,"Work"
"363",148208183419619,77,"Residence"
"364",148208183419619,77,"Work"
"365",148208209115129,29,"Residence"
"366",148208209115129,29,"Work"
"367",148208289339944,93,"Work"
"368",148208355809735,94,"Work"
"369",148208623009054,1096,"Residence"
"370",148208643859999,1023,"Work"
"371",148208663944334,84,"Residence"
"372",148208663944334,84,"Work"
"373",148208698019469,77,"Residence"
"374",148208900088276,1028,"Residence"
"375",148208900088276,1028,"Work"
"376",148209055079686,78,"Work"
"377",148209055079686,91,"Residence"
"378",148209055079686,1059,"Residence"
"379",148209113422203,1102,"Residence"
"380",148209113422203,1102,"Work"
"381",148209142865846,37,"Work"
"382",148209241031776,30,"Residence"
"383",148209520416302,86,"Residence"
"384",148209678038388,1057,"Residence"
"385",148209961519040,86,"Work"
"386",148210198603118,30,"Residence"
"387",148211780740025,24,"Work"
"388",148211780740025,87,"Work"
"389",148211896973452,1055,"Residence"
"390",148211896973452,1055,"Work"
"391",148212048707544,30,"Work"
"392",148212093565598,1113,"Residence"
"393",148212181775257,82,"Work"
"394",148212187502704,1078,"Work"
"395",148212392378523,63,"Work"
"396",148212403101013,74,"Residence"
"397",148212403101013,74,"Work"
"398",148212587188327,88,"Residence"
"399",148212587188327,88,"Work"
"400",148212587188327,91,"Residence"
"401",148212605909798,30,"Residence"
